PPI,Porosity,Re,Dh,f,Nu
40,0.98,1300,0.004615,15.5681,65.6917
40,0.9,900,0.005217,24.9273,92.7944
40,0.8,100,0.00375,102.299,61.7343
50,0.95,1500,0.005357,27.0326,96.2566
50,0.98,1700,0.00375,14.641,70.3598
10,0.85,1100,0.0042,2.67365,98.2244
50,0.85,700,0.005357,48.3146,97.715
20,0.85,1500,0.004615,6.48494,126.283
30,0.9,1500,0.005357,13.7948,118.06
40,0.98,1500,0.005217,17.4457,74.0167
30,0.9,1300,0.0042,10.5197,102.169
30,0.9,500,0.00375,13.4058,65.3243
40,0.9,1300,0.004615,17.6031,106.363
20,0.9,1500,0.0042,6.10661,107.465
20,0.98,900,0.005217,8.28801,55.3333
30,0.9,1500,0.005357,13.7948,118.06
40,0.85,500,0.005357,42.0722,83.0077
30,0.85,300,0.005357,37.5487,64.9452
30,0.95,1500,0.004615,11.5389,91.4244
20,0.9,700,0.005217,10.1847,78.5716
5,0.98,1100,0.00375,1.20392,68.6039
10,0.98,1500,0.005357,3.41078,79.4287
10,0.95,500,0.005357,4.67798,49.0241
30,0.98,900,0.005455,15.0662,56.5946
20,0.85,1700,0.005357,7.54375,140.081
10,0.9,500,0.00375,3.07638,57.7245
20,0.95,300,0.003,6.67833,38.0283
10,0.85,700,0.004615,3.38497,81.0409
10,0.95,1700,0.00375,2.6329,100.211
20,0.85,900,0.005217,9.27765,102.89
20,0.9,300,0.0042,11.3785,52.2126
10,0.85,100,0.005357,12.6983,37.161
30,0.85,300,0.004615,28.9459,64.8988
30,0.8,1100,0.004615,13.2589,128.061
